Valence: 2.3832 | Arousal: 1.556058
Valence: 1.624216 | Arousal: 1.176243
Valence: 1.921543 | Arousal: 1.293729
Valence: 2.311003 | Arousal: 1.476838
Valence: 1.775612 | Arousal: 1.268308
Valence: 2.215556 | Arousal: 1.415847
Valence: 2.013683 | Arousal: 1.318142
Valence: 2.253742 | Arousal: 1.520619
Valence: 1.228021 | Arousal: 0.9959261
Valence: 1.871503 | Arousal: 1.298405
Valence: 3.061215 | Arousal: 1.93004
Valence: 3.164777 | Arousal: 2.014003
Valence: 2.57828 | Arousal: 1.673037
Valence: 1.773976 | Arousal: 1.238959
Valence: 1.286759 | Arousal: 1.012719
Valence: 3.577604 | Arousal: 2.150366
Valence: 1.603351 | Arousal: 1.090669
Valence: 2.694517 | Arousal: 1.668842
Valence: 2.940115 | Arousal: 1.883242
Valence: 2.941182 | Arousal: 1.893684
Valence: 1.219018 | Arousal: 0.9993075
Valence: 1.971685 | Arousal: 1.326689
Valence: 2.22328 | Arousal: 1.485748
